Company,Year,Average_Score
Walmart Inc,2019,0.044453279
Walmart Inc,2018,0.046458614
Walmart Inc,2017,0.037270257
Walmart Inc,2016,0.040316738
Walmart Inc,2015,0.04441199
Walmart Inc,2014,0.040507272
Walmart Inc,2013,0.042780958
Walmart Inc,2012,0.042785451
Walmart Inc,2011,0.045459511
Walt Disney Co,2018,0.050023615
Walt Disney Co,2017,0.051468969
Walt Disney Co,2016,0.050849378
Walt Disney Co,2015,0.050955823
Walt Disney Co,2014,0.055235994
Walt Disney Co,2013,0.055302755
Walt Disney Co,2012,0.053668059
Walt Disney Co,2011,0.052382784
Dow Inc,2023,0.045306334
Dow Inc,2022,0.042223502
Dow Inc,2021,0.036703203
Dow Inc,2020,0.042226817
